model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate
lstm,none,none,none,True,True,5,True,True,True,0.06980583071708679,0.10097465912501018,57.384705195563335,0.3836341684091528,0.21448040655166586,0.5555555555555556,0.11070110701107011,0.27365967365967364,11.0,52.79,4.593333333333333,False
lstm,early,matched,scalars,True,True,5,True,True,True,0.0689369464914004,0.09776620070139568,62.58026853473439,0.9866946159337641,0.29360772834325766,0.5932203389830508,0.3874538745387454,0.5407983916280377,11.0,52.79,9.79,False
lstm,late,matched,scalars,True,True,5,True,True,True,0.06927348921696345,0.09999838471412659,57.209573847051956,0.6044966662094847,0.4154504021045695,0.5165289256198347,0.922509225092251,0.666863067679161,11.0,52.79,4.42,False
lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.06961977481842041,0.10058499127626419,64.0396964389959,1.0979962015642737,0.44950036881355643,0.5717821782178217,0.8523985239852399,0.6760221932964905,11.0,52.79,11.25,False
rf,none,none,none,True,True,5,True,True,True,0.06660046428442001,0.10026974976062775,57.26795096322241,-0.14015316678346137,0.2594749234579608,0.5827814569536424,0.3247232472324723,0.4170616113744076,11.0,52.79,4.48,False
rf,late,matched,scalars,True,True,5,True,True,True,0.06559330473343532,0.0986122116446495,71.92060712200818,0.8919134985005807,0.4626225472408621,0.8481012658227848,0.4944649446494465,0.6221773952058282,11.0,52.79,19.12666666666667,False
cnn_lstm,none,none,none,True,True,5,True,True,True,0.07002362608909607,0.1010038157304128,53.006421482778755,0.3372933542824075,0.16871146554972707,0.5598194130925508,0.915129151291513,0.6614561312040017,11.0,52.79,0.22000000000000006,False
cnn_lstm,early,matched,scalars,True,True,5,True,True,True,0.0679471989472707,0.0957843412955602,66.54991243432575,1.061479631998907,0.36089292306994336,0.6276923076923077,0.7527675276752768,0.5612810519011263,11.0,52.79,13.763333333333335,False
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.06989046931266785,0.10056806604067485,48.102743724460005,0.040071642981281,0.29473225951722504,0.4757630161579892,0.977859778597786,0.6419427046487306,11.0,52.79,-4.686666666666667,False
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.06972264001766841,0.10108100126187007,53.473438412142436,-0.05725821495140848,0.15852386892947046,0.5698529411764706,0.5719557195571956,0.5881007699980868,11.0,52.79,0.683333333333333,False
