model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,degenerate,MAE_std,RMSE_std,DA%_std,Sharpe_std,IC_std,Prec_std,Rec_std,F1_std,ESS_std,base_rate_DA%_std,DA_skill%_std
lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.028777555872996647,0.04659118130803108,52.195945945945944,0.46363585946194946,0.20113055680430192,0.5362962962962963,0.047619047619047616,0.08746179161905877,55.0,51.32,0.8766666666666666,True,7.081319013347437e-05,6.246519106425451e-05,1.779671242035933,0.42682097021978566,0.05075252947542349,0.47206053876952525,0.04248297958094148,0.07793285689050392,0.0,0.0,1.7806272303133335
lstm,hybrid,matched,scalars,False,True,5,True,True,True,0.028855999931693077,0.046664029359817505,52.6463963963964,0.33786653433478114,0.192954166358446,0.5833333333333334,0.0634920634920635,0.10286516024220943,55.0,51.32,1.33,True,4.3206642950535526e-06,1.9069292368861268e-05,3.709812254511066,0.524183420130174,0.048325059858902425,0.5204164998665333,0.1041357143147849,0.16660170894512966,0.0,0.0,3.710485143481914
lstm,hybrid,matched,scalars,True,False,5,True,True,True,0.028817825640241306,0.04663269966840744,52.36486486486487,0.45922344543205673,0.17938512663208162,0.8870573870573871,0.05215419501133787,0.09430057516376734,55.0,51.32,1.0433333333333332,False,5.7514682911974236e-05,0.00010635890671728092,1.6113837861772733,0.3778877935061337,0.05526881022739707,0.13461642287772504,0.04862082005077453,0.08333916591706435,0.0,0.0,1.611221069044634
lstm,hybrid,matched,scalars,True,True,3,True,True,True,0.028780456632375717,0.046593233942985535,52.195945945945944,0.46363585946194946,0.19696886398902191,0.5362962962962963,0.047619047619047616,0.08746179161905877,55.0,51.32,0.8766666666666666,True,6.932574444292536e-05,6.254822849722351e-05,1.779671242035933,0.42682097021978566,0.04633735568383425,0.47206053876952525,0.04248297958094148,0.07793285689050392,0.0,0.0,1.7806272303133335
lstm,hybrid,matched,scalars,True,True,10,True,True,True,0.028777555872996647,0.04659118130803108,52.195945945945944,0.46363585946194946,0.20113055680430192,0.5362962962962963,0.047619047619047616,0.08746179161905877,55.0,51.32,0.8766666666666666,True,7.081319013347437e-05,6.246519106425451e-05,1.779671242035933,0.42682097021978566,0.05075252947542349,0.47206053876952525,0.04248297958094148,0.07793285689050392,0.0,0.0,1.7806272303133335
lstm,hybrid,matched,scalars,False,False,5,True,True,True,0.028855678935845692,0.046641466518243156,53.43468468468469,0.4275587866198962,0.21336253486573478,0.895210543233687,0.07596371882086167,0.1309071269127426,55.0,51.32,2.1133333333333333,False,1.834860503073934e-05,6.0225207716202244e-05,3.1390450145870172,0.3890360330564252,0.08590323001961576,0.09898892385084103,0.08115886697584254,0.13135887953904218,0.0,0.0,3.143888250770586
lstm,hybrid,matched,scalars,False,True,5,False,True,True,0.028883156677087147,0.04666471853852272,50.22522522522522,0.024723284121254335,0.20600789243143672,0.16276477146042365,0.3310657596371882,0.21823617339312407,55.0,51.32,-1.0933333333333333,True,2.2320029595137816e-05,2.5876742479729098e-05,0.19505076661811727,0.005620423717902833,0.11391816699628105,0.2819168538517905,0.5734227163379957,0.3779961403663021,0.0,0.0,0.1962990915244728
lstm,hybrid,matched,scalars,True,True,5,False,True,True,0.028983008737365406,0.04676379015048345,52.42117117117116,0.17869702207626845,0.14246815053774306,0.3508424299252811,0.28571428571428575,0.3147839836740272,55.0,51.32,1.0999999999999999,True,0.00022719822355255008,0.00017677433608540464,5.778739011913501,0.5114510957534634,0.07360732052685497,0.31137968238612523,0.2585034013605442,0.2822011782483021,0.0,0.0,5.777966770413274
lstm,hybrid,matched,scalars,True,True,5,True,False,True,0.028755926837523777,0.046571921557188034,53.65990990990991,0.5550849788329043,0.2036008927993718,0.7270752895752896,0.1530612244897959,0.23060970677069748,55.0,51.32,2.34,False,0.00013903463445258903,7.174717654411776e-05,0.6395167056081403,0.31789867018751283,0.04354057363787168,0.17874148033139994,0.10947943496211618,0.12497472636436624,0.0,0.0,0.6378871373526824
lstm,hybrid,matched,scalars,True,True,5,True,True,False,0.028777555872996647,0.04659118130803108,52.195945945945944,0.46363585946194946,0.20113055680430192,0.5362962962962963,0.047619047619047616,0.08746179161905877,55.0,51.32,0.8766666666666666,True,7.081319013347437e-05,6.246519106425451e-05,1.779671242035933,0.42682097021978566,0.05075252947542349,0.47206053876952525,0.04248297958094148,0.07793285689050392,0.0,0.0,1.7806272303133335
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.02901093289256096,0.04679832731684049,50.168918918918926,0.1694868865723196,0.01794958699632686,0.4829264057599049,0.5011337868480726,0.48980670849362523,55.0,51.32,-1.1500000000000001,False,0.00015465838770790046,0.0003135663530335013,3.6815024860985357,1.1292814468481065,0.09618814665542334,0.03772669254726183,0.11354296488339626,0.07593919775751752,0.0,0.0,3.6786818291339087
cnn_lstm,hybrid,matched,scalars,False,True,5,True,True,True,0.029034485419591267,0.04682435219486555,51.29504504504504,0.1816693296112731,-0.010784781196056878,0.4438956244075238,0.5170068027210885,0.41062064168980134,55.0,51.32,-0.023333333333333355,False,0.00027346334463057353,0.00024575409062394476,2.1388986388764173,0.38837485326363463,0.05306180012121669,0.09633769515262539,0.45103631168029323,0.3358491778073764,0.0,0.0,2.1412690940966135
cnn_lstm,hybrid,matched,scalars,True,False,5,True,True,True,0.028952048470576603,0.04674119999011358,49.0990990990991,-0.11980777093140584,0.04941844684049188,0.3188359774736695,0.5260770975056689,0.3965528753537872,55.0,51.32,-2.22,True,0.00016640144545710016,0.0002645244562284524,2.7515296673131977,0.546775082116594,0.15994018485374487,0.2765273119945299,0.4628517305096807,0.34519737847891385,0.0,0.0,2.7484723029348506
cnn_lstm,hybrid,matched,scalars,True,True,3,True,True,True,0.029012852037946384,0.04679931576053301,50.22522522522522,0.18166895252202206,0.0186625612941772,0.48375777111682056,0.5011337868480725,0.4902387193283915,55.0,51.32,-1.0966666666666667,False,0.00015500532006261015,0.00031443350578309507,3.430066308675232,1.114181669982725,0.09924685254753457,0.03490410083033721,0.11080990224825953,0.07318823556277011,0.0,0.0,3.4314185599156124
cnn_lstm,hybrid,matched,scalars,True,True,10,True,True,True,0.02901093289256096,0.04679832731684049,50.168918918918926,0.1694868865723196,0.01794958699632686,0.4829264057599049,0.5011337868480726,0.48980670849362523,55.0,51.32,-1.1500000000000001,False,0.00015465838770790046,0.0003135663530335013,3.6815024860985357,1.1292814468481065,0.09618814665542334,0.03772669254726183,0.11354296488339626,0.07593919775751752,0.0,0.0,3.6786818291339087
cnn_lstm,hybrid,matched,scalars,False,False,5,True,True,True,0.028783942262331646,0.04661718507607778,52.59009009009009,0.46400644053501683,0.05093225671361983,0.5083242733927665,0.6009070294784581,0.5487227785714613,55.0,51.32,1.2700000000000002,False,0.0002258195692359011,0.00016096154304272642,6.551644630027561,0.9850919503843482,0.12753326493007966,0.05538228801188563,0.09598428123944158,0.06146674018910871,0.0,0.0,6.552152318131806
cnn_lstm,hybrid,matched,scalars,False,True,5,False,True,True,0.028924548377593357,0.046668497224648796,50.056306306306304,0.07057199153061043,0.07995611329260131,0.4887342387990983,0.8662131519274378,0.6241138073626556,55.0,51.32,-1.2633333333333334,False,9.786211606993758e-05,4.719946841185454e-05,1.8529822828721139,0.2158949882312753,0.1122769407578295,0.009499188876584092,0.06293283032370937,0.008986279662141973,0.0,0.0,1.8552717680526845
cnn_lstm,hybrid,matched,scalars,True,True,5,False,True,True,0.029020679493745167,0.0467523584763209,48.42342342342342,-0.13583026381868363,0.037950035924056005,0.479563985899543,0.7664399092970521,0.5879185782843096,55.0,51.32,-2.896666666666667,False,0.0002851877725608399,0.00016880231349972435,5.951446063839554,0.5396548158466663,0.04391191274006773,0.03853887653331773,0.0675436326920929,0.02276985229657679,0.0,0.0,5.953489173025624
