model_name,fusion_type,news_scope,sentiment_mode,shuffle_news,market_encoder_name,output_mode,fusion_style,market_query_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,DA_ind%,Prec_ind,Rec_ind,F1_ind,ModalDisagreement,TemporalLag,CompositeScore,degenerate,train_time_sec,run_seed,seed_count
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,True,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.033461061128132324,0.04700708636354877,44.747899159663866,0.07216544679785993,0.04221525749359485,0.5139841100000146,0.45452769886363636,0.4715416122442456,422,53.78,-9.03,44.90609854802036,0.5156120654249372,0.4556559011813933,0.47298002132771905,0.5307289185326346,1.0,0.743977621784998,False,83.48,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,False,True,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.034345795932976944,0.047727718798547085,42.542016806722685,0.04466241125693319,0.06846202594663288,0.48677911913206034,0.44145063920454547,0.4278340799885646,422,53.78,-11.24,42.65133771000505,0.48860321561091374,0.44130949325942626,0.4290926039579973,0.6552053486150907,1.0,0.7663215717718532,False,80.32,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,True,True,0,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03314002920335338,0.04743451561936299,44.17016806722689,0.0460924805596307,-0.055902084257107056,0.44791437505892706,0.4220703125,0.40737747290716925,422,53.78,-9.61,44.21876365289189,0.4520419673265403,0.42421573186951383,0.4099394274847514,0.2967927237912877,1.0,0.7494546788399514,False,109.04,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,True,False,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03319530452074936,0.04761092772926569,42.436974789915965,-0.5139121448885754,0.05099439625518905,0.4834837417292244,0.44430930397727275,0.4120613233662883,422,53.78,-11.34,42.44498226320178,0.4822346268421617,0.4429534020019793,0.4112054416154153,0.6543033761293391,1.0,0.7643564477282904,False,126.82,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.033043417216665934,0.047371290652938755,48.056722689075634,0.263900202116942,0.07588934845656278,0.5375594081731769,0.4916015625,0.49505274400023325,422,53.78,-5.72,48.51729630591591,0.5409423551532055,0.495270431047831,0.49926098558950505,0.5710213776722091,1.0,0.7359834590828856,False,118.7,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,True,True,3,False,False,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.033461061128132324,0.04700708636354877,44.747899159663866,0.07216544679785993,0.04221525749359485,0.5139841100000146,0.45452769886363636,0.4715416122442456,422,53.78,-9.03,44.90609854802036,0.5156120654249372,0.4556559011813933,0.47298002132771905,0.5307289185326346,1.0,0.743977621784998,False,108.94,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,learned,multi,True,True,True,3,False,True,False,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.034743752195195335,0.04872194730295998,43.32983193277311,-0.1189271474992493,0.06313355534722469,0.49207125013576625,0.44390092329545455,0.4497276382183403,422,53.78,-10.45,43.27437881335466,0.49026713375365916,0.4425005735695732,0.4488699669646204,0.5894636924537257,1.0,0.7668296047922412,False,124.68,42,1
cmtf,cmtf,matched,scalars,False,lstm,anchored_fusion,handcrafted,multi,True,True,True,3,False,True,True,True,True,True,True,True,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.032870605271499875,0.04677589481923539,46.69117647058824,0.6128012067841333,-0.03125163942054434,0.5108962788114413,0.44630681818181817,0.43387666775319617,422,53.78,-7.09,46.63068344200967,0.5137066105347106,0.44738215523593866,0.43526343611419327,0.18795888399412627,1.0,0.7295994576200164,False,108.62,42,1
cmtf,cmtf,matched,scalars,False,lstm,encoder_residual,learned,multi,True,True,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03642823383159003,0.05025717373120214,44.747899159663866,0.09876138040674172,0.023703150194348245,0.49865239793896154,0.44781605113636364,0.47086020681731133,422,53.78,-9.03,44.85587895119362,0.4978324645303086,0.4488476415614183,0.4711147244701806,0.5328884652049571,1.0,0.7774775546090256,False,129.86,42,1
cmtf,cmtf,matched,scalars,False,lstm,fusion_plus_news,learned,multi,True,True,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.034738824645123415,0.04897016962907576,43.38235294117647,-0.27661589906859174,0.06026373991558147,0.4995331392745186,0.45581498579545454,0.41399557157973116,422,53.78,-10.4,43.59213322306216,0.4999892890468375,0.4562981283957409,0.41569541581656966,0.6736441484300666,1.0,0.7776585406431415,False,104.5,42,1
