model_name,fusion_type,news_scope,sentiment_mode,market_encoder_name,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cmtf,cmtf,matched,scalars,cnn_lstm,True,True,True,5,True,True,True,0.02895814531002021,0.00014749689201365337,0.04645552710993053,0.0004424132790151033,49.56949569495695,3.640503957428961,0.49660158639467933,0.4997524031752708,0.025378258002804382,0.18137022894509694,0.531548760586744,0.04586627538296937,0.4923697405711794,0.03735068297165456,0.445282891198076,0.09619038166417264,55.0,0.0,51.29,0.0,-1.72,3.638845970908909,False,3
cmtf,cmtf,matched,scalars,lstm,True,True,True,5,True,True,True,0.02917782981373238,0.00035401302554879027,0.04687796701487127,0.00058875282884093,49.077490774907744,4.154365405608008,0.17852618217313232,0.6872683096717986,0.14294074981388813,0.05258556328161023,0.5613538643914278,0.0426536647174595,0.4817237119395393,0.044745957745993575,0.41610291596322996,0.10992647956375462,55.0,0.0,51.29,0.0,-2.2133333333333334,4.151148435473409,False,3
cnn_lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.028785577014720995,8.223788567493373e-05,0.04653878402575585,8.576865700959672e-05,52.644526445264454,2.5049707078002847,0.2940189497426197,0.2831087106898432,0.27553125961527636,0.04954534417782842,0.5678657030425875,0.07381784147364238,0.5151605987936924,0.02783105965672854,0.4059787645401185,0.10681655776647038,55.0,0.0,51.29,0.0,1.3566666666666667,2.50731596200665,False,3
cnn_lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.028951408988814164,0.00010339040509941092,0.0467577008364613,0.00012913370901032332,46.678966789667896,4.170721238176134,-0.21320674327762137,0.7892540287624802,0.038686364088540946,0.16387724608366017,0.5312362599816475,0.07076982359457196,0.4642240752852264,0.03664022192646617,0.3841012386535989,0.04548961420193402,55.0,0.0,51.29,0.0,-4.613333333333333,4.171586428846145,False,3
cnn_lstm,none,none,none,,True,True,True,5,True,True,True,0.028912037480050157,3.5211790982479255e-05,0.04668881319824527,2.7547034078275025e-05,44.58794587945879,4.224783393750457,0.19507883401261095,0.42133552149072284,0.0039048710337918255,0.0920820262058016,0.4627090220982744,0.05006893534729418,0.44428548070634405,0.03452589957079731,0.40971029214276516,0.06882363874061086,55.0,0.0,51.29,0.0,-6.703333333333333,4.225781978916249,False,3
lstm,early,matched,scalars,,True,True,True,5,True,True,True,0.02883251773148991,4.6360610595598405e-05,0.04649816195452627,0.00018955337761560599,49.138991389913905,3.6076283827951943,0.506056437866425,0.43512186919725104,0.17312466570541374,0.03198023329399573,0.6347462936291155,0.1194412686985414,0.48782337766150713,0.029059067172673873,0.381497100324808,0.06669622859118243,55.0,0.0,51.29,0.0,-2.15,3.6083375673570233,False,3
lstm,late,matched,scalars,,True,True,True,5,True,True,True,0.028778761982502492,7.748550810337068e-05,0.046581498146600814,5.938717494966559e-05,52.952029520295206,4.56805107126935,0.6960757805063715,0.8601979182879567,0.20959093523033812,0.06306416190594578,0.5762701014409313,0.06649976733502953,0.5223230506503888,0.051456020976503626,0.4720429602341311,0.13808547987509645,55.0,0.0,51.29,0.0,1.6633333333333333,4.56806669536833,False,3
lstm,none,none,none,,True,True,True,5,True,True,True,0.028881307505173922,5.960870485730359e-05,0.04667899574986619,5.972819928101395e-05,49.2619926199262,3.048470782630685,0.20031465747514102,0.26507667927567596,0.08997670105976217,0.11716874357235751,0.4489136199437375,0.17149658607644286,0.48924496766223385,0.016957464279230054,0.3729629261277292,0.06654813450903131,55.0,0.0,51.29,0.0,-2.026666666666667,3.04641319149805,False,3
rf,late,matched,scalars,,True,True,True,5,True,True,True,0.02905851097943371,0.00012312866532030386,0.04699562167703015,0.00022449073244669134,46.98646986469865,2.8662189908317424,-0.1720774058497021,0.16766836050258835,0.01687356772176819,0.020560758666383492,0.5153064261023864,0.029289453046221797,0.46566383257030736,0.030101904965824995,0.46535845282611477,0.056439647229250725,55.0,0.0,51.29,0.0,-4.303333333333334,2.8628016580499134,False,3
rf,none,none,none,,True,True,True,5,True,True,True,0.029530238746599404,0.00012551975127032215,0.04748845651185646,0.00023506001474956427,47.232472324723254,0.738007380073805,-0.05315855010944922,0.10922404903178395,0.022889351328641932,0.022519318660245192,0.5110575895434956,0.004924308989700797,0.4660589710050142,0.007863627765392268,0.45473326216448445,0.013265619427710464,55.0,0.0,51.29,0.0,-4.06,0.7399999999999999,False,3
