model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,degenerate,seed_count
cnn_lstm,early,matched,scalars,True,True,5,True,True,True,0.028888373095581833,4.555508515311691e-05,0.04667989804326777,4.3330502375217706e-05,49.81549815498155,2.556532557297243,0.08801786979342485,0.11524983067456182,0.07380640477369867,0.12537892768757905,0.5225918102388164,0.012132673580187794,0.4913024126153622,0.015064663253462722,0.38421688383467806,0.07612179496908072,55.0,0.0,51.29,0.0,-1.4766666666666666,2.557661692510042,False,3
cnn_lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.028915880543284936,3.914915671259542e-05,0.046694659019737746,4.324263825185777e-05,45.694956949569494,3.84514121336792,-0.13913591954163948,0.34795420533274535,-0.019936195830321312,0.08551058701573346,0.3208687678475318,0.11483441130078663,0.44929056754596325,0.03128738775435891,0.36368845728917853,0.06006952864631611,55.0,0.0,51.29,0.0,-5.596666666666667,3.8473670650632408,False,3
cnn_lstm,late,matched,scalars,True,True,5,True,True,True,0.02956485378739025,0.00029100002620417823,0.04723299655427742,0.00017677546307876032,40.34440344403444,0.7681424352273573,-0.6821281632137537,0.6000700959209047,-0.15346168395689397,0.02510099175382201,0.41239677327375346,0.050218006767459106,0.4044128333696679,0.00930341137416272,0.3684616383923352,0.039575089670657794,55.0,0.0,51.29,0.0,-10.946666666666667,0.7702164198024687,False,3
cnn_lstm,none,none,none,True,True,5,True,True,True,0.02890663390746977,4.491830371380332e-05,0.04668013807547015,4.851499689571468e-05,43.6039360393604,2.637365515669316,0.11319917933703134,0.08662199113160717,0.01115879975586539,0.10219725353391587,0.4478750005900028,0.023702438214739944,0.4322451130005087,0.019084100974965938,0.3972455686257485,0.037219177162213506,55.0,0.0,51.29,0.0,-7.686666666666667,2.63410959022842,False,3
cnn_lstm_hybrid,hybrid,matched,scalars,True,True,5,True,True,True,0.028920167786082474,4.326124545189618e-05,0.046761840483905394,0.00013451062193784458,49.507995079950796,1.5473241851671806,-0.08788018883798658,0.19128156722270853,-0.037945198107850554,0.1371124984965878,0.528998147472043,0.05815153980389353,0.4830590073395829,0.01470500834427681,0.3508559722934621,0.009717821346680096,55.0,0.0,51.29,0.0,-1.7833333333333332,1.5473310354715093,False,3
cnn_lstm_hybrid,late,matched,scalars,True,True,5,True,True,True,0.029446045508541147,0.00043929380050529795,0.047180307841887904,0.00039083774550222473,43.9729397293973,6.344109646003862,-0.37241084176596434,0.43608018533393456,-0.14311202484540186,0.013423627742227632,0.46789593007690167,0.0398236986831158,0.43539713683598574,0.056252246678496716,0.38942663094585983,0.0434248558296557,55.0,0.0,51.29,0.0,-7.316666666666666,6.342383884103306,False,3
cnn_lstm_hybrid,none,none,none,True,True,5,True,True,True,0.02963786280890526,0.0006016127082060444,0.04735697671230169,0.00045734861720546555,50.246002460024606,0.9467899334772852,0.0214783490294078,0.0,0.1930768363134491,0.00624772461581929,0.523585725289956,0.017354490510031965,0.48980815347721823,0.00922949899181094,0.34109029059452206,0.005762077133088618,55.0,0.0,51.29,0.0,-1.0433333333333332,0.9444751628991275,False,3
lstm,early,matched,scalars,True,True,5,True,True,True,0.028898620826531402,3.533841999494854e-05,0.04669172844651807,5.8095628409677226e-05,49.75399753997541,2.663054747184624,0.044459364507132206,0.03980428641694543,0.1474286276216169,0.11312895687501635,0.5525012565320725,0.06856518389840617,0.4851073686505341,0.025794794155667957,0.3386800653198221,0.0005963882628195455,55.0,0.0,51.29,0.0,-1.5366666666666668,2.661584740964175,False,3
lstm,hybrid,matched,scalars,True,True,5,True,True,True,0.02887518528109718,5.948062346024911e-05,0.046636966667454316,9.431975089117872e-05,49.8769987699877,1.2284738225976752,0.22861827175480984,0.35183470304453446,0.106646436063846,0.10972872848267419,0.5104612387746409,0.010513966657298165,0.4886272799941865,0.010838243122780183,0.3832101390772836,0.0785458024934255,55.0,0.0,51.29,0.0,-1.4133333333333333,1.2272869808375437,False,3
lstm,late,matched,scalars,True,True,5,True,True,True,0.029047724127233138,0.0001320283372420096,0.046801877362768134,0.0001276852551190043,50.9840098400984,0.2818312235520202,0.0214783490294078,0.0,0.14345098058344366,0.13484849522852696,0.5168965531803891,0.0067712112417309045,0.4970023980815348,0.0027473475389423467,0.34004860339043086,0.0028637025056578985,55.0,0.0,51.29,0.0,-0.3066666666666667,0.2804163571073081,False,3
