    model_name,fusion_type,news_scope,sentiment_mode,shuffle_news,market_encoder_name,output_mode,fusion_style,market_query_mode,use_cross_attention,use_positional_encoding,use_news_gate,recency_gate_k,use_two_stage,use_aux_loss,use_variance_reg,use_interaction_prod,use_interaction_diff,use_news_context_prod,use_cosine_sim,use_pooled_news,fusion_market_dim,fusion_hidden_dim,projected_news_dim,n_heads,dropout,sign_penalty_weight,encoder_lr_scale,aux_loss_weight,stage1_ratio,market_epochs,fusion_epochs,market_patience,fusion_patience,news_gate_alpha,variance_reg_coeff,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,DA_ind%,Prec_ind,Rec_ind,F1_ind,ModalDisagreement,TemporalLag,CompositeScore,degenerate,train_time_sec,run_seed,seed_count,fusion_lambda,MAE_std,RMSE_std,DA%_std,Sharpe_std,IC_std,Prec_std,Rec_std,F1_std,ESS_std,base_rate_DA%_std,DA_skill%_std,train_time_sec_std,fusion_lambda_std,fusion_lambda_accept_rate,model_name,DA%_gated,Sharpe_gated,IC_gated,gate_coverage,gate_tau,gate_conviction,DA%_gated_std,Sharpe_gated_std,IC_gated_std,gate_coverage_std,gate_tau_std
,late,all,scalars,False,,market_plus_fusion,handcrafted,multi,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,0.03178526077564203,0.046006720819299345,47.79411764705882,0.4573891897127293,0.025162418484243953,0.518222695765656,0.4659090909090909,0.4793809424136893,422.0,53.78,-5.983333333333334,,,,,,,,False,61.04999999999999,,3,,0.0009556871884273819,0.0011105263087572894,2.312714165578152,0.5217035842317541,0.042709512218522434,0.026901162875327067,0.01980983524645286,0.01613354513784096,0.0,0.0,2.311846304003217,6.326302237484393,,,chronos,51.891200369713175,0.2985945353354475,0.05780983920943945,0.27089246294544306,0.010202671323592464,True,1.2929846988698988,0.20377092167582805,0.010755392716723386,0.043720314172932366,0.0021267649754579043
,none,matched,scalars,False,,market_plus_fusion,handcrafted,multi,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,0.031146755457446638,0.045478806143225026,47.811624649859944,0.4505212201144331,0.025077484192174548,0.5221645937126035,0.4682824337121212,0.48395298326401637,422.0,53.78,-5.966666666666666,,,,,,,,False,19.453333333333333,,3,,0.0005403434419100387,0.000725284744945335,2.653394057342182,0.45201579520065266,0.04256282382163445,0.026531761528302306,0.02366605323414192,0.026003069622028672,0.0,0.0,2.652552230085834,2.1301251919390385,,,chronos,51.49505900816326,0.2925060384788339,0.0627746118790669,0.26348155156102177,0.007166920889479418,True,1.2826314811587096,0.19896778065339396,0.018386048854284867,0.03809929732916368,0.0003498444233557264
,cmtf,all,scalars,False,chronos,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03579172752785595,0.049845527506370196,44.74789915966386,-0.15191094959288906,0.06720184446529365,0.5140170022041058,0.4636363636363636,0.449271349092667,422.0,53.78,-9.03,,,,,,,,False,378.2733333333333,,3,,0.00140663226409983,0.0012622909140727926,0.7446138066574459,0.2256353277575224,0.022308234926138787,0.00317875596725334,0.0033575496667144966,0.02231975017076279,0.0,0.0,0.7448489779814428,71.3087998309699,,,cmtf,52.18182124235079,0.24974433495109402,0.13599988589900694,0.40586565752128667,0.018951001421858866,True,3.043102607651675,0.23761270399156556,0.08574740773471415,0.08612779598618889,0.00112451821555885
,cmtf,all,scalars,False,cnn_lstm,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03458887875236616,0.048177675758713866,46.09593837535014,0.3080250248534686,0.07138144107535373,0.522889822807232,0.47092211174242427,0.4787760879868907,422.0,53.78,-7.683333333333334,,,,,,,,False,97.75333333333333,,3,,0.0020188384696919522,0.0016848690581085714,0.9222385988141392,0.11121276603594046,0.04041626391056063,0.007545727735368393,0.006691091132546047,0.014906956466585582,0.0,0.0,0.9230565168684604,14.843966226495313,,,cmtf,54.10662361016971,0.33704896537350365,0.09206832782360352,0.36534216335540837,0.01709223973254363,True,3.879160879299735,0.1613372741674535,0.08005896709475027,0.08975908876867567,0.005377282052861387
,cmtf,all,scalars,False,gpt4ts,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03802741550373692,0.05271111722981451,44.5203081232493,-0.2876618504089427,0.07053298085901637,0.5114472780696154,0.4588304924242424,0.4556985251804755,422.0,53.78,-9.26,,,,,,,,False,341.9533333333334,,3,,0.0017270557326506512,0.0018092305032332172,0.5516789655668353,0.1252728050009592,0.022718012505842815,0.00557922105429952,0.006098762245984617,0.006348180318238568,0.0,0.0,0.5502726596879044,53.6531567881456,,,cmtf,52.07178726039561,0.20126087953516025,0.139777632600852,0.4254178492589089,0.019592232691744964,True,1.4501289718279464,0.13513510153982738,0.008844274556643057,0.04919886946966304,0.0002675217221871813
,cmtf,all,scalars,False,lstm,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.034772977058546546,0.0488896210195733,45.79831932773109,0.010922889033789953,0.045999846226467446,0.5121910665258795,0.46115056818181815,0.47628848488812325,422.0,53.78,-7.983333333333333,,,,,,,,False,79.38666666666667,,3,,0.0009184835683015058,0.0008110232405884168,3.27993592352857,0.5551519793554085,0.05910829686421915,0.030030650097182598,0.02771531690092637,0.030502488691495938,0.0,0.0,3.279425762741601,25.692536529765473,,,cmtf,55.13488639849308,0.33378232209097564,0.1381625946392434,0.2947019867549669,0.020852787885814905,True,4.834413611715429,0.2634683264541903,0.08390585626145218,0.031123527246160784,0.005053228880799078
,cmtf,all,scalars,True,lstm,anchored_fusion,learned,multi,True,False,True,3,False,True,True,False,False,False,False,False,64,32,128,4,0.1,0.01,0.1,0.1,0.33,50,40,8,8,1.0,0.001,0.03224445767489971,0.046362293183489105,48.07422969187675,0.3434979686198462,-0.036022735715679245,0.5023505856999949,0.458206084280303,0.43034713542567643,422.0,53.78,-5.706666666666667,,,,,,,,False,87.15666666666668,,3,,0.0007436965754419571,0.0007891836373264842,2.125208810293208,0.3985650080910347,0.006194709350292522,0.010165733068326903,0.01599991949838821,0.016933862740772698,0.0,0.0,2.1301251919390403,10.375940118048739,,,cmtf,51.12284393220124,0.09622825831029237,0.02982559460961549,0.22311573636076945,0.012425583632042011,True,0.9355101513649785,0.07666645770561833,0.07280314986522503,0.007806303244709273,0.003579847350547591
,early,all,scalars,False,,market_plus_fusion,handcrafted,multi,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,0.030866502828366265,0.04527145030754253,48.70448179271708,0.048029311429036235,-0.04622345546976433,0.4191113215182772,0.46622277462121214,0.3694227580535163,422.0,53.78,-5.076666666666667,,,,,,,,True,99.25,,3,,0.00030122169482548025,0.00033631222116966176,7.3861295818157595,0.8208442977755266,0.026863644106276174,0.13733810728194978,0.04564576703526421,0.03770499613294527,0.0,0.0,7.386043144562136,16.032245631850827,,,cnn_lstm,47.68497330282227,-0.36587110969557174,-0.09782103188575242,0.2226426994638915,0.005364230009339129,True,3.4603434192426263,0.28766469179776144,0.07001463072663539,0.023243077605793465,0.0046652278987363025
,late,all,scalars,False,,market_plus_fusion,handcrafted,multi,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,0.03101238287228754,0.04521454947818862,48.529411764705884,0.566229306109205,-0.0496883763302348,0.5088881661234789,0.46110617897727274,0.42551074603989214,422.0,53.78,-5.25,,,,,,,,False,53.623333333333335,,3,,0.00022697109292267665,0.00016305129021308321,1.2306065665819288,0.04173867220876959,0.012565955658137564,0.012367537041187357,0.007460952500620421,0.026272165736176266,0.0,0.0,1.2323554681990097,14.573405001348638,,,cnn_lstm,46.8590752616094,-0.3023157927049214,-0.04055289596659049,0.2574897508672343,0.007999132775391141,True,3.454356939981745,0.234002969911549,0.0686616229377462,0.03905444110412321,0.0013182823808500718
,none,matched,scalars,False,,market_plus_fusion,handcrafted,multi,True,True,True,5,True,True,True,True,True,True,True,True,128,64,128,2,0.2,0.005,0.1,0.3,0.33,50,40,8,8,1.0,0.001,0.03157937917610218,0.0456887556662652,47.88165266106443,0.6246032822427864,-0.05076337959136044,0.5365222233346977,0.45527047821969696,0.4255131808971085,422.0,53.78,-5.8999999999999995,,,,,,,,False,1.0566666666666666,,3,,0.0003201968469515201,0.0002810445143064397,1.3799472268164283,0.257462730030626,0.013677671249631096,0.06177331196097185,0.009233169375323414,0.01905284888472694,0.0,0.0,1.3772073191789247,0.08386497083606091,,,cnn_lstm,46.546535825225966,-0.3097007797684745,-0.04425021344323526,0.24077578051087986,0.011349735471109549,True,2.900121331236387,0.19743206971025834,0.04899673740481482,0.01626999387125812,0.0009712831752066887
