model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,none,none,none,True,True,5,0.02879461646080017,0.04628428816795349,56.41891891891891,0.9940684678073304,0.18834807519563324,0.6808510638297872,0.21768707482993196,0.32989690721649484
lstm,late,matched,scalars,True,True,5,0.029496869072318077,0.045963287353515625,57.26351351351351,1.3208896721532757,0.1604062284328532,0.6104651162790697,0.35714285714285715,0.45064377682403434
lstm,late,all,scalars,True,True,5,0.031033771112561226,0.04789379984140396,56.75675675675676,0.8751613492899939,0.1274032453334443,0.5806451612903226,0.42857142857142855,0.4931506849315069
rf,none,none,none,True,True,5,0.028882626444101334,0.04642021283507347,53.547297297297305,0.4933246806558408,0.08912134247895709,0.5309734513274337,0.40816326530612246,0.46153846153846156
rf,late,matched,scalars,True,True,5,0.02917957864701748,0.04660835862159729,52.53378378378378,0.3700480764745971,0.08007521615235347,0.5307262569832403,0.3231292517006803,0.4016913319238901
rf,late,all,scalars,True,True,5,0.029213178902864456,0.04662487655878067,51.858108108108105,0.35753506302527466,0.0800174618849702,0.5207100591715976,0.29931972789115646,0.3801295896328294
chronos_ft,none,none,none,True,True,5,0.028708267956972122,0.04640691354870796,53.37837837837838,0.8748930570097209,0.10871866574062494,0.5225806451612903,0.5510204081632653,0.5364238410596027
chronos_ft,late,matched,scalars,True,True,5,0.028899356722831726,0.04677029326558113,54.22297297297297,0.5213590652130958,0.06962275571564012,0.5294117647058824,0.5204081632653061,0.5248713550600342
chronos_ft,late,all,scalars,True,True,5,0.028832798823714256,0.04626476764678955,54.054054054054056,0.9728518987854333,0.08870696037568586,0.5285714285714286,0.5034013605442177,0.5156794425087108
cnn_lstm,none,none,none,True,True,5,0.028931939974427223,0.04648352786898613,50.33783783783784,0.7577993560730167,0.07301533559661441,0.4892367906066536,0.8503401360544217,0.6211180124223602
cnn_lstm,late,matched,scalars,True,True,5,0.028720378875732422,0.046376559883356094,58.61486486486487,1.7435543454295737,0.16536604292651508,0.5964912280701754,0.46258503401360546,0.521072796934866
cnn_lstm,late,all,scalars,True,True,5,0.029713712632656097,0.04606107994914055,54.729729729729726,1.1104788314493976,0.13992249709638274,0.5317220543806647,0.5986394557823129,0.5632
