model_name,fusion_type,news_scope,sentiment_mode,use_positional_encoding,use_news_gate,recency_gate_k,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1
lstm,late,matched,none,True,True,5,0.012227987870573997,0.019085511565208435,53.66726296958855,0.326134818839856,0.06255942015928438,0.4583333333333333,0.375,0.41250000000000003
lstm,late,matched,scalars,True,True,5,0.0122071523219347,0.019060982391238213,54.74060822898033,0.9945541617162016,0.13392644565942427,0.45934959349593496,0.42803030303030304,0.44313725490196076
lstm,late,matched,weighted_emb,True,True,5,0.012248342856764793,0.01912112534046173,50.98389982110913,-0.6890272204111496,0.005154778601701268,0.43312101910828027,0.5151515151515151,0.47058823529411764
rf,late,matched,none,True,True,5,0.012627877295017242,0.019556522369384766,53.84615384615385,0.5249361764907432,0.08361581069629177,0.4634146341463415,0.35984848484848486,0.40511727078891263
rf,late,matched,scalars,True,True,5,0.012542277574539185,0.019316749647259712,53.48837209302325,0.6968149917140753,0.038617269004935756,0.453781512605042,0.4090909090909091,0.43027888446215146
rf,late,matched,weighted_emb,True,True,5,0.012538385577499866,0.019319895654916763,52.95169946332737,0.5841634516550789,0.03955251623958047,0.45161290322580644,0.3712121212121212,0.4074844074844075
chronos_ft,late,matched,none,True,True,5,0.012248852290213108,0.019052572548389435,50.44722719141323,0.1841293863464272,0.03991587437483902,0.44126984126984126,0.5265151515151515,0.4801381692573402
chronos_ft,late,matched,scalars,True,True,5,0.012435528449714184,0.019237106665968895,52.05724508050089,0.53345399591224,0.03898272187614737,0.4472573839662447,0.4015151515151515,0.4231536926147704
chronos_ft,late,matched,weighted_emb,True,True,5,0.012251767329871655,0.019130757078528404,52.41502683363149,-0.47959323971234047,0.019914602337390473,0.44680851063829785,0.4772727272727273,0.46153846153846156
cnn_lstm,late,matched,none,True,True,5,0.012193930335342884,0.018951496109366417,54.02504472271914,1.8901094224050619,0.1275896337436078,0.4618320610687023,0.4583333333333333,0.4600760456273764
cnn_lstm,late,matched,scalars,True,True,5,0.01229800470173359,0.019028039649128914,50.80500894454383,1.647208427420473,0.08413407455527948,0.44597249508840864,0.8598484848484849,0.5873221216041397
cnn_lstm,late,matched,weighted_emb,True,True,5,0.012242638505995274,0.01907145231962204,53.48837209302325,1.162872329129152,0.05487773539320134,0.4548022598870056,0.6098484848484849,0.5210355987055016
