cell,group,seed_count,MAE,MAE_std,RMSE,RMSE_std,DA%,DA%_std,Sharpe,Sharpe_std,IC,IC_std,Prec,Prec_std,Rec,Rec_std,F1,F1_std,ESS,ESS_std,base_rate_DA%,base_rate_DA%_std,DA_skill%,DA_skill%_std,train_time_sec,train_time_sec_std,DA%_gated,DA%_gated_std,Sharpe_gated,Sharpe_gated_std,IC_gated,IC_gated_std,gate_coverage,gate_coverage_std,gate_tau,gate_tau_std,MAE_ci95,RMSE_ci95,DA%_ci95,Sharpe_ci95,IC_ci95,Prec_ci95,Rec_ci95,F1_ci95,ESS_ci95,base_rate_DA%_ci95,DA_skill%_ci95,train_time_sec_ci95,DA%_gated_ci95,Sharpe_gated_ci95,IC_gated_ci95,gate_coverage_ci95,gate_tau_ci95
0,0 — Reference,3,0.013332108214183161,7.079669267311825e-05,0.019899234572826333,3.345065921362833e-05,45.85942936673626,1.1075709145718171,0.42345657229885725,0.4867354480826369,0.026192526647078208,0.008611366003251962,0.5179716698572974,0.018141791117728265,0.45749385499495293,0.010346657924696745,0.44516876312099246,0.06143406803468343,2142.0,0.0,50.47,0.0,-4.613333333333333,1.1082568895943452,73.79666666666667,6.944741415872397,54.4473798896238,3.2581087521494596,0.4452823616600556,0.1680897244566454,0.08467089187947312,0.048956196509135456,0.27544351073762835,0.042306296019455424,0.0024819396688447646,0.0006793107860579821,8.011399956221766e-05,3.7852984319055154e-05,1.2533344767222916,0.5507930102703014,0.009744677980933108,0.020529369251388655,0.011708345646551816,0.069519192405787,0.0,0.0,1.254110730535563,7.858714718776292,3.68689713160103,0.19021142941958633,0.055399151536777165,0.04787408073468723,0.0007687125197802248
0p,0 — Reference,3,0.01339698199238768,0.0001462345188113543,0.019952840722979672,8.143428274862583e-05,46.50313152400835,0.5296916265705759,0.5813883759746293,0.08454924333933585,0.032171724978371515,0.019328913010743763,0.5117738145931451,0.009368653870323287,0.46266793653146016,0.006444620459121189,0.43850842505980464,0.047919438870276096,2142.0,0.0,50.47,0.0,-3.966666666666667,0.5281413952090231,77.28333333333333,0.7128347167003968,53.25146479729337,2.118886188103341,0.5454495785766332,0.019261750751304894,0.0835647672443988,0.024803090798634263,0.25925925925925924,0.015443841915858202,0.002427443250780925,0.0007330555589347121,0.00016547993604907956,9.215156592971912e-05,0.5994025022485049,0.09567647566741967,0.021872724134595713,0.010601629874592134,0.007292774579521233,0.054225949825092656,0.0,0.0,0.5976482503204635,0.806648418526382,2.3977454417239423,0.02179672288340554,0.028067339452679394,0.017476352323387807,0.000829530455592539
1,1 — Component knockouts,3,0.013315485042729414,5.5460228727232e-05,0.01987382994917752,1.8432173766684553e-05,46.05080027835769,0.7200487851974539,0.2364541008394799,0.4549246542774247,0.023407741593356995,0.02224149850463297,0.5150514477971618,0.017305362782169945,0.45894515498997657,0.0060790343193858395,0.44498106967147705,0.036959080568395135,2142.0,0.0,50.47,0.0,-4.42,0.7219418259112018,50.71666666666667,8.704621377942482,53.029052673145685,3.7389529682542526,0.4852048359083359,0.23651505650400997,0.07275328301864958,0.06272350015940803,0.2643946467475879,0.013484980753744125,0.002251487933487321,0.0009771960282594452,6.27591568505718e-05,2.085796815245276e-05,0.8148119055282894,0.5147957083518144,0.02516862489170779,0.0195828614869915,0.006879074917392361,0.04182313682572144,0.0,0.0,0.8169540827570014,9.850206371667772,4.231023585309528,0.26764198181837984,0.07097832221503753,0.015259692245654544,0.0011058014043345827
2,1 — Component knockouts,3,0.013279173794819674,9.773579152841143e-05,0.01986980327277002,6.460320533039526e-05,47.355601948503825,0.9164625741869105,0.7319404280610505,0.1212261300267501,0.03261117219344453,0.03128090624722184,0.5223951857897017,0.012114279523689306,0.4717213533068245,0.009474034060475558,0.47233738211485266,0.017425832333483136,2142.0,0.0,50.47,0.0,-3.1133333333333333,0.9178416711684718,67.06666666666668,13.355681687331925,53.67839814952891,3.7384786374577197,0.5268160941135948,0.22386617719319982,0.08630622411289135,0.04204074680203247,0.258948023653906,0.012616563995461749,0.0017352846819752206,0.0010346319806709878,0.0001105984596748434,7.310540885651208e-05,1.037075031261699,0.13718028005537108,0.03539767769896479,0.013708597786319169,0.010720878785649403,0.019719185617635956,0.0,0.0,1.0386356264082435,15.113376578088404,4.230486829483925,0.2533284274232949,0.04757358350684924,0.014276986173294844,0.0011707963030030775
3,1 — Component knockouts,3,0.013503939713338993,0.00018824360838925469,0.02003945089321812,0.0002247918277075147,47.72094641614475,0.8257790039182978,0.7294008706699547,0.1784105577576171,0.03829091667845865,0.02074906309059806,0.5209781046841456,0.012659521236508466,0.4751838779476864,0.005677947588015624,0.42943430292060114,0.08611532051336421,2142.0,0.0,50.47,0.0,-2.75,0.8216446920658588,62.53333333333333,10.594452951112357,53.48901913656497,1.0501777799144647,0.42268817209536386,0.3033600525302198,0.09269422762928442,0.025935912534433676,0.28400248988484283,0.05813090469149027,0.002865418733563274,0.0009482193695108864,0.00021301769603445487,0.00025437589958758074,0.9344569111986059,0.20189055175335777,0.023479775235147063,0.014325596867671497,0.006425202554035398,0.09744865882029378,0.0,0.0,0.9297784969192034,11.988752115953428,1.1883880309039365,0.34328421565981476,0.029349247923530393,0.06578131120486204,0.001073011228146338
4,1 — Component knockouts,3,0.013792272214727628,0.0008561374230728181,0.020314910194505115,0.0007183751076439309,46.642310368823935,1.960042013522331,0.3463144292051538,0.3739877625844802,0.046983582345082535,0.03343609994003893,0.5213476330932315,0.023639088451767255,0.4659232363826434,0.018365902460682156,0.48253707103600435,0.010824841931079285,2142.0,0.0,50.47,0.0,-3.8299999999999996,1.9627531683836354,73.02333333333333,3.7558265845660777,56.1557194058725,0.9749475074557631,0.7998832865875246,0.4717166559824652,0.11361688841493818,0.04942107941884587,0.30205415499533145,0.07889822595704951,0.003381970872093613,0.0019994741148360432,0.000968810696481832,0.0008129179610836058,2.217996336894984,0.42320699338747997,0.037836508950024106,0.02675014679880939,0.020782975109987098,0.012249461789573797,0.0,0.0,2.2210642974334025,4.250117879672405,1.1032569635156655,0.5337976470929046,0.05592521607198057,0.08928174750997746,0.0022626179601390258
5,1 — Component knockouts,3,0.013552428805618277,0.0005180228399783795,0.020109601087515624,0.00045987317683933557,47.14683368128044,0.850159479670885,0.6217606090997901,0.16006661708852926,0.03809291466015613,0.03372520079483985,0.5289878042756296,0.010694650297334124,0.4699309747120375,0.00945954493078009,0.4454137081892436,0.09051412318549748,2142.0,0.0,50.47,0.0,-3.3233333333333337,0.8488423489278403,61.14666666666667,11.34405718133214,52.65690423206497,6.683371428016047,0.33210970740140994,0.5192825741197623,0.030614870185161198,0.15903424186430196,0.21335200746965452,0.013393079633782492,0.0035090224895005426,0.003003061075390441,0.0005861980271714681,0.0005203954887849064,0.9620460167065115,0.18113242875009683,0.03816365736445494,0.012102136086987346,0.0107044827919066,0.10242637263775543,0.0,0.0,0.960555542959964,12.837009155995451,7.562946734396264,0.587623550548912,0.17996418620741667,0.015155696338411137,0.003398283515728334
6,1 — Component knockouts,3,0.014092664613173983,0.0011131890658396802,0.02079293574118282,0.0015945749480940677,45.807237299930414,0.4218634534788534,0.2736756489374883,0.5601724401938635,0.03426085754122668,0.011130719737276015,0.5167600053532088,0.018442116311505587,0.45766003438369607,0.0022466071484485337,0.4373117506111343,0.05488571867306358,2142.0,0.0,50.47,0.0,-4.663333333333333,0.42477444995354097,91.08666666666666,18.828951997743626,52.62732850781337,2.079732374599807,0.5455821553492429,0.3915828800642661,0.07041743647011335,0.025114090258121825,0.3569872393401805,0.07005342416777345,0.0030060092297693095,0.0007361641792621548,0.0012596920133701153,0.0018044314200292813,0.47738343771747116,0.6338947899115318,0.012595595111717553,0.020869219201073312,0.0025422753141633933,0.06210903752309629,0.0,0.0,0.4806775403300821,21.306964988733416,2.353438730782454,0.4431177431816999,0.028419268471119218,0.07927291206980132,0.0008330481906469394
7,1 — Component knockouts,3,0.013303032885252452,2.309319992291103e-05,0.019887388305663074,3.168802736029911e-05,46.38135003479471,0.5749029798837271,0.5381987956601567,0.17565629897177978,0.018854526535138128,0.01892336101717089,0.5283956911782464,0.02204745942417375,0.4612653098437405,0.004939125881881142,0.4353479621738197,0.03343396690380241,2142.0,0.0,50.47,0.0,-4.09,0.5737595315112424,64.23666666666666,8.972270244109538,53.04717540294464,2.0620941231637238,0.4546750124373395,0.18435915898436747,0.07224181314263735,0.06634715304387369,0.2631497043261749,0.0382772347192106,0.0021707383663548776,0.00033677753240822267,2.6132415776207357e-05,3.585837860805156e-05,0.6505639647798241,0.19877381453257248,0.021413798851382723,0.02494904900164837,0.0055891470886324296,0.037834095192295226,0.0,0.0,0.6492700311375336,10.153079575730274,2.3334791703217257,0.20862202773170724,0.07507887147289771,0.04331476866718263,0.00038109965402609433
8,2 — News side,3,0.013345177976867094,8.12991347332696e-05,0.01989904429372686,4.800827257499197e-05,46.120389700765486,0.753327595497945,0.6228896001452972,0.20245954332690363,0.031000916539852656,0.008278007003080708,0.5175293902841623,0.022329813544736427,0.45843481173055767,0.007931533805691036,0.4234158140091709,0.036432517180313005,2142.0,0.0,50.47,0.0,-4.346666666666667,0.7563288526384093,79.15333333333332,2.8694482628779596,54.29599305084707,3.208749507740518,0.66260270727901,0.19593295375638692,0.0864999902134143,0.00847852596118054,0.24167444755680048,0.02609511497269012,0.0021555650261385986,0.0002993275249246795,9.199863155334824e-05,5.4326474625221064e-05,0.8524704244954756,0.22910454080600118,0.00936744676030122,0.025268562767575147,0.008975375428492579,0.041227274258566385,0.0,0.0,0.8558666666666662,3.2470863849166562,3.631041888429892,0.22171900944496223,0.00959435532219688,0.029529402441873073,0.0003387209810986112
