decile_rank,target_coverage,coverage,gate_tau,n_traded,DA%,Sharpe,IC
1,1.0,1.0,0.0,2009,49.668874172185426,0.7944461035047693,0.20415354647531297
2,0.9,0.886,0.005732025485485792,1780,54.05236907730673,0.8044148347812238,0.233371680336401
3,0.8,0.787,0.010386841557919978,1581,55.89887640449438,0.8139497741766369,0.2612089672735714
4,0.7,0.6879,0.014302107878029349,1382,57.64611689351481,0.8298566387958279,0.2845656824199647
5,0.6,0.5903,0.018507366254925727,1186,60.18691588785047,0.8618386249087788,0.29536473057687335
6,0.5,0.5177,0.022111056372523308,1040,62.68656716417911,0.8898723831528443,0.30841167372569656
7,0.4,0.4699,0.024868009239435194,944,64.93506493506493,0.9120714024009098,0.3159740106842883
8,0.3,0.4166,0.028065998852252957,837,68.4913217623498,0.9492173496690522,0.32617130503593506
9,0.2,0.3579,0.03186995089054108,719,72.38689547581903,0.9675432261359134,0.30738126043564673
10,0.1,0.2897,0.03618769198656083,582,78.05825242718447,1.0014345409216219,0.2852582324491795
