cell,group,seed,MAE,RMSE,DA%,Sharpe,IC,Prec,Rec,F1,ESS,base_rate_DA%,DA_skill%,DA_ind%,Prec_ind,Rec_ind,F1_ind,ModalDisagreement,TemporalLag,CompositeScore,degenerate,DA%_gated,Sharpe_gated,IC_gated,gate_coverage,gate_tau,gate_conviction,train_time_sec
0,0 — Reference,1,0.0330375490941176,0.04796191468479632,45.535714285714285,-0.37698157830603507,-0.038721852477510546,0.5008901548869503,0.4490678267045455,0.47173420526182025,422,53.78,-8.24,45.70625423769359,0.5016850542830035,0.4508989056413795,0.47277943122155985,0.4983261597321856,0.8,0.7361858391137606,False,50.67796610169491,-0.23614138032520504,0.010255885256896446,0.30416272469252603,0.014161249622702599,True,87.12
0,0 — Reference,42,0.03373454738854778,0.04830473405974447,42.121848739495796,-0.606056203873103,-0.01873609535994124,0.47780746635240856,0.42915482954545453,0.44192100727418054,422,53.78,-11.66,42.44164093862635,0.47938205816240675,0.43164263088628924,0.44437311517576655,0.5514775977121068,1.0,0.7662158618001724,False,49.55277280858677,0.0368527136436822,0.08850206041800604,0.2876064333017975,0.015061327256262302,True,61.27
0,0 — Reference,123,0.03510548375074126,0.048548669575336,48.424369747899156,0.470065412122511,0.05963991915633775,0.5332772182393406,0.4765625,0.5001474898483051,422,53.78,-5.36,48.428720114007625,0.5327871879603303,0.4772049660435508,0.5000057168330558,0.5004812319538018,0.8,0.733749898344322,False,57.965451055662186,0.4248871684600826,0.09094727742567564,0.26773888363292336,0.024364440236240625,True,64.01
0p,0 — Reference,1,0.033815228866505655,0.04746318584955028,48.161764705882355,0.3275988314984358,0.023139849601224255,0.4759404364249368,0.4546253551136364,0.40140760084461763,422,53.78,-5.62,47.890611520830774,0.4738942579049411,0.4536340503411789,0.39907386042332554,0.29532442748091603,1.0,0.741975633878198,False,51.49572649572649,0.5765160595357706,0.026613753252212758,0.24408703878902555,0.017643187660723925,True,76.23
0p,0 — Reference,42,0.032358619970635646,0.04640148948738835,46.7436974789916,0.5043354577777224,-0.041121229091076524,0.5076839942518497,0.44927201704545455,0.4463414716452664,422,53.78,-7.04,46.78749923106367,0.50871902747894,0.4510122113518465,0.44768766660800513,0.16920058852378617,1.0,0.7230341639709529,False,50.35294117647059,0.09266599189177606,0.08007690389797983,0.22327341532639547,0.016558969859033823,True,53.81
0p,0 — Reference,123,0.03145028099455422,0.04555424176675815,50.52521008403361,0.6365126749202437,-0.03781842261900063,0.5087397189739976,0.4766779119318182,0.4126087346426329,422,53.78,-3.25,50.41290218788019,0.5103650180044904,0.47771636628962455,0.4135016388724928,0.20528846153846153,1.0,0.714381244271207,False,52.16400911161732,0.021405028519784017,0.06306433892920468,0.23084200567644275,0.010318322340026498,True,66.86
1,1 — Component knockouts,1,0.03481334042665103,0.04945290854292079,46.48109243697479,0.027168070751571037,0.055669566227252526,0.5271110468478889,0.47024147727272725,0.4901059082407848,422,53.78,-7.3,46.385200572772135,0.5275861598373217,0.4686500384208411,0.489585383918128,0.6210023866348449,1.0,0.7630001545342073,False,56.62824207492796,0.25770374294296333,0.1477802360338175,0.3609271523178808,0.01941410731524229,True,51.57
1,1 — Component knockouts,42,0.03683484321888733,0.05065521636889621,46.7436974789916,0.19188694570729353,0.12146891571636008,0.5429601304770911,0.4766779119318182,0.4907585710035982,422,53.78,-7.04,46.804370799329256,0.5441870478138724,0.47637102470970644,0.4913134984489459,0.6606205250596658,1.0,0.7761343773419206,False,60.36505867014341,0.8051692826933351,0.2750044107932633,0.40397350993377484,0.02386285411193967,True,62.92
1,1 — Component knockouts,123,0.034303612140271354,0.048160582422620585,43.80252100840336,0.09881557220016066,0.05262324565831874,0.5005375857727369,0.44645774147727274,0.46088334885019,422,53.78,-9.98,43.8702753646467,0.5009130253428877,0.44650056828243007,0.46121647574797436,0.6500479386385427,1.0,0.7629023867589184,False,51.622874806800624,0.12030826453476995,0.08043448909428866,0.33349101229895933,0.018357552122324705,True,65.81
2,1 — Component knockouts,1,0.03645453421316344,0.05344994384754075,47.89915966386555,-0.38788636433698,0.022569425140624527,0.5494073811811913,0.49093572443181815,0.4946329005251447,422,53.78,-5.88,48.00750864626194,0.5501307886809288,0.4911562825518597,0.4951654056403836,0.6947619047619048,1.0,0.7972991152085184,False,48.84615384615385,-0.565836742762921,-0.07738459048412441,0.2771996215704825,0.023286237847059965,True,78.64
2,1 — Component knockouts,42,0.03196944360717081,0.046283220620556044,43.32983193277311,-0.41847806925253855,-0.034481815088282186,0.4800295948441379,0.4323153409090909,0.45454089314129187,422,53.78,-10.45,43.58960711340159,0.48371693615266775,0.43519777285371186,0.45770409911410964,0.3638968481375358,1.0,0.734385535193649,False,52.317880794701985,0.4712131770003934,0.1371297640638666,0.16035950804162724,0.012838480062782764,True,61.83
2,1 — Component knockouts,123,0.03394353640701598,0.047885281592333837,51.73319327731093,1.0646697827595075,0.11501596133947312,0.581076870786835,0.5001331676136364,0.509802649666355,422,53.78,-2.05,51.88716275021759,0.5849466621018747,0.5030261029961116,0.5122376260752409,0.4035766070565491,1.0,0.7241349203281846,False,59.80551053484603,0.45831393485477034,0.15221881479512844,0.32213812677388837,0.021975507494062185,True,75.27
3,1 — Component knockouts,1,0.03538755210836115,0.049259463516711455,47.21638655462185,0.4596825690165255,0.11023588944975747,0.5497420687409699,0.4877840909090909,0.47922750632188593,422,53.78,-6.56,47.0681492044072,0.5506602330411619,0.4849532427817748,0.4784855008858469,0.7263610315186246,1.0,0.7664370167378088,False,56.06694560669456,0.42387088754457414,0.23493895519213823,0.25260170293282874,0.02696557715535164,True,73.5
3,1 — Component knockouts,42,0.0337905991155267,0.048567137668950634,44.27521008403361,-0.5169527761463285,0.0024679008896791705,0.49739648998940944,0.44877485795454547,0.46468272178270525,422,53.78,-9.5,44.75880289712429,0.49938177544891965,0.45312059627015094,0.46830099896634636,0.5085632730732635,1.0,0.758028289040151,False,58.18181818181818,0.2619386650353275,0.1610534150858177,0.22658467360454115,0.018508111592382193,True,57.46
3,1 — Component knockouts,123,0.03431348442246648,0.0479985618531459,47.846638655462186,0.3534854589452076,0.11979995748497306,0.5405648584220013,0.4881303267045455,0.498685940360491,422,53.78,-5.93,47.8526474819898,0.5400264986850752,0.48737536043788127,0.4985619778052698,0.6195965417867435,1.0,0.7446147756951774,False,55.769230769230774,0.531755765731267,0.16702790239833518,0.41106906338694416,0.018125472590327263,True,74.78
4,1 — Component knockouts,1,0.035093360316007155,0.04923773323918801,42.226890756302524,-0.5439182892596202,-0.01170588162348212,0.47342897049085453,0.4270951704545455,0.4445873586712492,422,53.78,-11.55,42.446118825156404,0.4747801244481872,0.42874394792193227,0.4465018199708982,0.6486615678776291,1.0,0.7813855276750147,False,51.95246179966044,0.238669522194986,0.09601922983726868,0.3074739829706717,0.019295508973300457,True,75.88
4,1 — Component knockouts,42,0.03373454738854778,0.04830473405974447,42.121848739495796,-0.606056203873103,-0.01873609535994124,0.47780746635240856,0.42915482954545453,0.44192100727418054,422,53.78,-11.66,42.44164093862635,0.47938205816240675,0.43164263088628924,0.44437311517576655,0.5514775977121068,1.0,0.7662158618001724,False,49.55277280858677,0.0368527136436822,0.08850206041800604,0.2876064333017975,0.015061327256262302,True,59.46
4,1 — Component knockouts,123,0.03510548375074126,0.048548669575336,48.424369747899156,0.470065412122511,0.05963991915633775,0.5332772182393406,0.4765625,0.5001474898483051,422,53.78,-5.36,48.428720114007625,0.5327871879603303,0.4772049660435508,0.5000057168330558,0.5004812319538018,0.8,0.733749898344322,False,57.965451055662186,0.4248871684600826,0.09094727742567564,0.26773888363292336,0.024364440236240625,True,63.94
5,1 — Component knockouts,1,0.0349759191264691,0.04946582061992032,44.32773109243697,-0.3800706755347629,0.050356103572242954,0.5008137925248543,0.44614701704545456,0.4684879503779277,422,53.78,-9.45,44.39617561252899,0.5006284762885775,0.4465593301913563,0.46883054162889526,0.6304451890856869,1.0,0.770995800019376,False,56.74518201284796,0.5415673057270668,0.22390933150335796,0.24361400189214757,0.024397078435868025,True,62.77
5,1 — Component knockouts,42,0.034839551691074916,0.04875710729176718,42.016806722689076,-0.35311508660693813,0.028471524893088747,0.47968090035068495,0.4350497159090909,0.42590088940236515,422,53.78,-11.76,42.08442304143371,0.47994513499132696,0.43454793583598816,0.4265166400520859,0.630579297245964,1.0,0.7770054335739812,False,52.12620027434842,0.3900022669525159,0.15763810326433583,0.3793755912961211,0.016705309972167015,True,59.55
5,1 — Component knockouts,123,0.03508840410971912,0.04920069349148319,48.476890756302524,0.4069300111115102,0.08010942225033493,0.5405694197904702,0.4826438210227273,0.5099669034687084,422,53.78,-5.3,48.27942545076756,0.5398099643129686,0.48084318247267543,0.5084001291374213,0.5450191570881227,1.0,0.7512903221909438,False,55.26315789473685,0.21003461009435523,0.12736858187341868,0.39640491958372753,0.018557037226855755,True,62.37
6,1 — Component knockouts,1,0.0330375490941176,0.04796191468479632,45.535714285714285,-0.37698157830603507,-0.038721852477510546,0.5008901548869503,0.4490678267045455,0.47173420526182025,422,53.78,-8.24,45.70625423769359,0.5016850542830035,0.4508989056413795,0.47277943122155985,0.4983261597321856,0.8,0.7361858391137606,False,50.67796610169491,-0.23614138032520504,0.010255885256896446,0.30416272469252603,0.014161249622702599,True,87.7
6,1 — Component knockouts,42,0.03426830129649358,0.04837533634148004,46.32352941176471,-0.010526386331164348,-0.0017058858657256534,0.4988653088353986,0.45031960227272727,0.461607309198535,422,53.78,-7.46,46.01693275281488,0.4979216911031605,0.44823555491860995,0.45951108784119044,0.4142517814726841,0.8,0.7374358764347635,False,55.1578947368421,0.22702107304476704,-0.02910752016434973,0.2478713339640492,0.020672615617513657,True,63.65
6,1 — Component knockouts,123,0.033550869676923285,0.047298607732806974,48.686974789915965,0.42472992889012157,0.054065771981097535,0.5304800875744149,0.4810014204545454,0.5035098137555654,422,53.78,-5.09,48.75167460095052,0.5301786861063037,0.4819999755477147,0.5037262334259601,0.5346062052505967,0.8,0.7208619218266347,False,52.57879656160458,0.13492213094362218,0.007333636509376246,0.3618732261116367,0.01370857167057693,True,105.27
7,1 — Component knockouts,1,0.03429274755619776,0.04909493712665274,40.23109243697479,-0.6734111661655844,-0.08981535794327801,0.4534774830831454,0.4142933238636364,0.4137843901801469,422,53.78,-13.55,40.408852131833285,0.4532520135501361,0.41501083899047764,0.4149219011001038,0.6633141762452107,0.8,0.776207428554981,False,42.06008583690987,-0.8007872090142731,-0.16869950764140146,0.3680227057710501,0.011471453122794628,True,59.87
7,1 — Component knockouts,42,0.035517378002052964,0.04960837005976554,47.58403361344538,0.4653950770161277,0.12537329554840404,0.5610101978719089,0.4938387784090909,0.4786490725390421,422,53.78,-6.2,47.54782643341125,0.5598261103493168,0.49233840087803327,0.4773452313004148,0.6867239732569246,1.0,0.7657378541736818,False,53.551296505073275,0.36955753621043075,0.13886549147238264,0.46594134342478716,0.016627456061542034,True,71.39
7,1 — Component knockouts,123,0.03222826977622628,0.046859589365691,46.63865546218487,0.09951374357729444,0.038733486794020125,0.5219526273475026,0.46787109375,0.4915540493916136,422,53.78,-7.14,46.586575721433164,0.5203993496453991,0.46729201112771274,0.4906007957469284,0.5892771661081857,1.0,0.7354208639016656,False,54.296875,0.03886626384989753,0.03002375323767836,0.2663197729422895,0.011478497413918376,True,64.68
8,2 — News side,1,0.03601783119436271,0.04973562678458855,45.85084033613445,0.16042934467681783,0.04600914783679548,0.5119473123106273,0.46669921875,0.4765096477690747,422,53.78,-7.93,45.90929375760393,0.5131957817825497,0.46649688374076376,0.47761956831308827,0.655965500718735,1.0,0.7748362561194666,False,50.1432664756447,0.14322793149853277,0.05863455589076649,0.36471144749290446,0.019874740857630968,True,78.38
8,2 — News side,42,0.033043417216665934,0.047371290652938755,48.056722689075634,0.263900202116942,0.07588934845656278,0.5375594081731769,0.4916015625,0.49505274400023325,422,53.78,-5.72,48.51729630591591,0.5409423551532055,0.495270431047831,0.49926098558950505,0.5710213776722091,1.0,0.7359834590828856,False,51.792114695340494,0.06990830386096433,0.1806385281247991,0.2899716177861873,0.013245007256045938,True,77.76
8,2 — News side,123,0.035126520573511226,0.048838638005572824,43.32983193277311,0.0031247683900228196,0.02500224588909931,0.48988121106765176,0.4415838068181818,0.45284886560923904,422,53.78,-10.45,43.70549868084699,0.49248958029575746,0.44489531644050506,0.45594445776641257,0.6351480420248329,1.0,0.7732285158994721,False,52.472089314194584,0.4170812164088735,0.1121117626461024,0.3282876064333018,0.018843336030840874,True,75.52
