spw,sharpe_w,variant,n_seeds,DA%,Sharpe,IC
0.01,0.0,real,3,45.8072372999304,0.4279837198207923,0.04048334421145009
0.01,0.0,placebo,3,46.50313152400835,0.5330180068384723,0.032348205308107565
0.05,0.0,real,3,45.3723034098817,-0.02377889803026863,0.020977657882008
0.05,0.0,placebo,3,46.05080027835769,0.34173442498600815,0.01868865274358576
0.2,0.0,real,3,45.54627696590118,-0.009130230478550216,0.012260785156935529
0.2,0.0,placebo,3,46.0160055671538,0.3556742113299222,0.014777964232474948
0.01,0.1,real,3,45.99860821155185,0.38761965133380255,0.03728192966237609
0.01,0.1,placebo,3,46.31176061238691,0.26246028039765584,0.011985507528568985
0.05,0.1,real,3,45.963813500347946,0.45432195654180224,0.036757785023032875
0.05,0.1,placebo,3,46.64231036882395,0.5489475541516401,0.024781480558387328
0.2,0.1,real,3,46.120389700765486,0.49507123709005185,0.04922966787379122
0.2,0.1,placebo,3,46.224773834377174,-0.013553166719632507,0.014561434963150488
