cell,q,coverage,DA%,Sharpe,n
cmtf_real,0.0,1.0,44.85,-0.099,2114
cmtf_real,0.1,0.9,47.45,-0.055,1902
cmtf_real,0.2,0.8,50.79,0.041,1691
cmtf_real,0.3,0.7,52.01,0.131,1480
cmtf_real,0.4,0.6,53.83,0.339,1268
cmtf_real,0.5,0.5,54.78,0.469,1057
cmtf_real,0.6,0.4,55.93,0.473,846
cmtf_real,0.7,0.3,57.92,0.763,634
cmtf_real,0.8,0.2,60.15,1.025,423
cmtf_placebo,0.0,1.0,48.63,0.447,2114
cmtf_placebo,0.1,0.9,51.66,0.635,1902
cmtf_placebo,0.2,0.8,53.35,0.559,1691
cmtf_placebo,0.3,0.7,51.54,0.273,1480
cmtf_placebo,0.4,0.6,51.0,0.146,1268
cmtf_placebo,0.5,0.5,49.95,-0.088,1057
cmtf_placebo,0.6,0.4,49.8,-0.163,846
cmtf_placebo,0.7,0.3,50.7,-0.143,634
cmtf_placebo,0.8,0.2,53.79,0.702,423
market_only,0.0,1.0,49.26,0.564,2114
market_only,0.1,0.9,51.6,0.69,1902
market_only,0.2,0.8,52.99,0.562,1691
market_only,0.3,0.7,52.42,0.57,1480
market_only,0.4,0.6,51.26,0.253,1268
market_only,0.5,0.5,49.9,-0.106,1057
market_only,0.6,0.4,46.96,-0.544,846
market_only,0.7,0.3,45.31,-0.776,634
market_only,0.8,0.2,41.99,-1.148,423
