Model,Symbol,Horizon,BestValLoss,FinalTrainLoss,FinalValLoss,FinalValClean,FinalPredMean,FinalPredPos%,FinalPredNeg%,TestMAE,TestRMSE,TestDA%,TestSharpe
LSTM Baseline,VCB,1,,,,,,,,0.011171851065528118,0.017913866102730557,41.30434782608695,-0.46180975978540395
LSTM Baseline,CTG,1,,,,,,,,0.012789150336655238,0.018806485003377622,47.81021897810219,0.5013812964624036
LSTM Baseline,ACB,1,,,,,,,,0.010316698764288623,0.0166371660416627,44.656488549618324,0.5579602223332902
LSTM Baseline,BID,1,,,,,,,,0.013477846299415031,0.020315717205138785,51.34099616858238,1.2728084591426418
LSTM Baseline,TCB,1,,,,,,,,0.014781796652945696,0.02057819842149843,42.7536231884058,-0.8001185685693765
LSTM Baseline,MBB,1,,,,,,,,0.013193258839115526,0.0193943546369955,51.056338028169016,1.0760496206826713
LSTM Baseline,VPB,1,,,,,,,,0.017009938266366344,0.024421004396980386,47.65342960288809,0.9514713092775894
LSTM Hybrid,VCB,1,,,,,,,,0.011299234036677458,0.018054436897387158,46.3768115942029,-0.3021139736025091
LSTM Hybrid,CTG,1,,,,,,,,0.012870533151581438,0.01889098694750744,46.715328467153284,0.6386681365401281
LSTM Hybrid,ACB,1,,,,,,,,0.010771265081140787,0.016874964806694627,40.839694656488554,-0.9066255873133506
LSTM Hybrid,BID,1,,,,,,,,0.01383338277000476,0.020594887626677376,40.99616858237548,-1.0526227783749886
LSTM Hybrid,TCB,1,,,,,,,,0.014919169482661993,0.02077219010282964,43.47826086956522,-0.3776826007362233
LSTM Hybrid,MBB,1,,,,,,,,0.013561269061956052,0.019488321717831138,45.42253521126761,0.41346600168698555
LSTM Hybrid,VPB,1,,,,,,,,0.01716226065931836,0.02448226077764378,45.48736462093863,0.8239606976111232
Random Forest Baseline,VCB,1,,,,,,,,0.011287015259616359,0.017986659315964763,47.46376811594203,0.6466531333964624
Random Forest Baseline,CTG,1,,,,,,,,0.012754537328108651,0.018778453121187998,52.919708029197075,1.8067548808375529
Random Forest Baseline,ACB,1,,,,,,,,0.010610035070618811,0.016800313202609947,38.54961832061068,-1.3053883019428916
Random Forest Baseline,BID,1,,,,,,,,0.013090006466598341,0.020046687095081995,54.02298850574713,2.0626394411906768
Random Forest Baseline,TCB,1,,,,,,,,0.014626894019916493,0.020493602439877297,46.73913043478261,1.0660940175315166
Random Forest Baseline,MBB,1,,,,,,,,0.013161359315960844,0.01936696014769936,52.112676056338024,0.8475302192624844
Random Forest Baseline,VPB,1,,,,,,,,0.0170053878587072,0.024382806787737157,47.292418772563174,1.086518342189303
Linear Summary Baseline,VCB,1,,,,,,,,0.014042303358163574,0.020615575999261896,46.3768115942029,-0.4244469161683416
Linear Summary Baseline,CTG,1,,,,,,,,0.016953194781177634,0.023054378660746874,46.35036496350365,0.06602967586784186
Linear Summary Baseline,ACB,1,,,,,,,,0.013126897193442762,0.019299640916975908,39.69465648854962,-0.880022935770337
Linear Summary Baseline,BID,1,,,,,,,,0.016209672529286907,0.022308586713249756,50.95785440613027,1.4877864412307318
Linear Summary Baseline,TCB,1,,,,,,,,0.019330147746265593,0.024781075512593096,42.7536231884058,0.7592257531884283
Linear Summary Baseline,MBB,1,,,,,,,,0.01808028369575124,0.024543246173335146,45.07042253521127,-0.22087382562529723
Linear Summary Baseline,VPB,1,,,,,,,,0.019176348379974444,0.026833880114715634,45.84837545126354,0.7959876187193673
MLP Summary Baseline,VCB,1,,,,,,,,0.011396023949650716,0.018018202673508538,39.130434782608695,-0.8567030118539204
MLP Summary Baseline,CTG,1,,,,,,,,0.01283019271735005,0.01884918915399848,46.35036496350365,0.031961872828039674
MLP Summary Baseline,ACB,1,,,,,,,,0.010358985282600533,0.01684932779501227,49.61832061068702,1.1663878468858866
MLP Summary Baseline,BID,1,,,,,,,,0.013443869637952462,0.020323940179139077,49.042145593869726,-0.083936996162481
MLP Summary Baseline,TCB,1,,,,,,,,0.01441384487087983,0.020249060029741715,49.275362318840585,0.8546240142255039
MLP Summary Baseline,MBB,1,,,,,,,,0.013169473689622598,0.01935432960137327,50.352112676056336,0.595604722183322
MLP Summary Baseline,VPB,1,,,,,,,,0.017022411481345038,0.02450279227803544,49.81949458483754,0.8004389655612214
CNN-LSTM,VCB,1,,,,,,,,0.011256486911333864,0.01796662351671402,43.47826086956522,-1.0813205580941023
CNN-LSTM,CTG,1,,,,,,,,0.012840681829872065,0.018847270785066227,52.55474452554745,0.7463605366648787
CNN-LSTM,ACB,1,,,,,,,,0.010339195147037636,0.01664645297073228,41.221374045801525,-0.16678598571673475
CNN-LSTM,BID,1,,,,,,,,0.013457924278456773,0.020299487892488824,46.36015325670498,0.14719064848883157
CNN-LSTM,TCB,1,,,,,,,,0.014760907285378731,0.020621516643212896,40.57971014492754,-1.9169784125670972
CNN-LSTM,MBB,1,,,,,,,,0.013229182811341268,0.019380790578995083,50.70422535211267,1.5611900994843153
CNN-LSTM,VPB,1,,,,,,,,0.016998380488698367,0.024445553969811483,49.458483754512635,0.8205451443435755
CNN-LSTM Hybrid,VCB,1,,,,,,,,0.011199644997985493,0.017927564262722278,42.391304347826086,-0.7656083522452469
CNN-LSTM Hybrid,CTG,1,,,,,,,,0.012812482317369858,0.018849569625114616,49.63503649635037,0.46722050994247083
CNN-LSTM Hybrid,ACB,1,,,,,,,,0.010327507779151514,0.01663222812573385,42.74809160305343,-0.026917393381996484
CNN-LSTM Hybrid,BID,1,,,,,,,,0.013408525483433562,0.020286638051024583,48.275862068965516,0.3065904496877826
CNN-LSTM Hybrid,TCB,1,,,,,,,,0.014772927359872274,0.020592892176198523,42.028985507246375,-0.5564817046019521
CNN-LSTM Hybrid,MBB,1,,,,,,,,0.01323837374561098,0.019399946904756857,53.16901408450704,1.2628524917171198
CNN-LSTM Hybrid,VPB,1,,,,,,,,0.01692869110016557,0.02440372842920978,49.09747292418773,0.8220066214797164
GPT4TS Baseline,VCB,1,,,,,,,,0.011191055973477483,0.017886628222209877,41.66666666666667,-0.3290074827727473
GPT4TS Baseline,CTG,1,,,,,,,,0.012848163890572811,0.01886897123808199,48.9051094890511,-0.31262806530210047
GPT4TS Baseline,ACB,1,,,,,,,,0.010180598101361979,0.016619634892963076,41.98473282442748,0.09503842259792478
GPT4TS Baseline,BID,1,,,,,,,,0.013313078165025792,0.020174324365395884,53.25670498084292,1.6182405904674264
