Model,Symbol,Horizon,BestValLoss,FinalTrainLoss,FinalValLoss,FinalValClean,FinalPredMean,FinalPredPos%,FinalPredNeg%,TestMAE,TestRMSE,TestDA%,TestSharpe,Epoch_000_TrainLoss,Epoch_000_ValLoss,Epoch_000_ValClean,Epoch_000_PredMean,Epoch_000_PredPos%,Epoch_000_PredNeg%,Epoch_001_TrainLoss,Epoch_001_ValLoss,Epoch_001_ValClean,Epoch_001_PredMean,Epoch_001_PredPos%,Epoch_001_PredNeg%,Epoch_002_TrainLoss,Epoch_002_ValLoss,Epoch_002_ValClean,Epoch_002_PredMean,Epoch_002_PredPos%,Epoch_002_PredNeg%,Epoch_003_TrainLoss,Epoch_003_ValLoss,Epoch_003_ValClean,Epoch_003_PredMean,Epoch_003_PredPos%,Epoch_003_PredNeg%,Epoch_004_TrainLoss,Epoch_004_ValLoss,Epoch_004_ValClean,Epoch_004_PredMean,Epoch_004_PredPos%,Epoch_004_PredNeg%,Epoch_005_TrainLoss,Epoch_005_ValLoss,Epoch_005_ValClean,Epoch_005_PredMean,Epoch_005_PredPos%,Epoch_005_PredNeg%,Epoch_006_TrainLoss,Epoch_006_ValLoss,Epoch_006_ValClean,Epoch_006_PredMean,Epoch_006_PredPos%,Epoch_006_PredNeg%,Epoch_007_TrainLoss,Epoch_007_ValLoss,Epoch_007_ValClean,Epoch_007_PredMean,Epoch_007_PredPos%,Epoch_007_PredNeg%,Epoch_008_TrainLoss,Epoch_008_ValLoss,Epoch_008_ValClean,Epoch_008_PredMean,Epoch_008_PredPos%,Epoch_008_PredNeg%,Epoch_009_TrainLoss,Epoch_009_ValLoss,Epoch_009_ValClean,Epoch_009_PredMean,Epoch_009_PredPos%,Epoch_009_PredNeg%,Epoch_010_TrainLoss,Epoch_010_ValLoss,Epoch_010_ValClean,Epoch_010_PredMean,Epoch_010_PredPos%,Epoch_010_PredNeg%,Epoch_011_TrainLoss,Epoch_011_ValLoss,Epoch_011_ValClean,Epoch_011_PredMean,Epoch_011_PredPos%,Epoch_011_PredNeg%,Epoch_012_TrainLoss,Epoch_012_ValLoss,Epoch_012_ValClean,Epoch_012_PredMean,Epoch_012_PredPos%,Epoch_012_PredNeg%,Epoch_013_TrainLoss,Epoch_013_ValLoss,Epoch_013_ValClean,Epoch_013_PredMean,Epoch_013_PredPos%,Epoch_013_PredNeg%,Epoch_014_TrainLoss,Epoch_014_ValLoss,Epoch_014_ValClean,Epoch_014_PredMean,Epoch_014_PredPos%,Epoch_014_PredNeg%,Epoch_015_TrainLoss,Epoch_015_ValLoss,Epoch_015_ValClean,Epoch_015_PredMean,Epoch_015_PredPos%,Epoch_015_PredNeg%,Epoch_016_TrainLoss,Epoch_016_ValLoss,Epoch_016_ValClean,Epoch_016_PredMean,Epoch_016_PredPos%,Epoch_016_PredNeg%,Epoch_017_TrainLoss,Epoch_017_ValLoss,Epoch_017_ValClean,Epoch_017_PredMean,Epoch_017_PredPos%,Epoch_017_PredNeg%,Epoch_018_TrainLoss,Epoch_018_ValLoss,Epoch_018_ValClean,Epoch_018_PredMean,Epoch_018_PredPos%,Epoch_018_PredNeg%
LSTM Baseline,VCB,5,,,,,,,,0.027288458199024975,0.04468068202680904,42.75092936802974,-0.2805204638332318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,CTG,5,,,,,,,,0.028784755143864676,0.04035396737867557,55.55555555555556,0.8843922610086417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,ACB,5,,,,,,,,0.024210262042757055,0.0355351918589135,43.12267657992565,0.42798700850944077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,BID,5,,,,,,,,0.030738381762320154,0.048923135199553075,46.2406015037594,-0.5676654220178424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,TCB,5,,,,,,,,0.03408074549339133,0.045332994827934216,51.11940298507462,0.6075042437879338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,MBB,5,,,,,,,,0.030120892957482596,0.04335953999945743,51.25448028673835,1.19623842275843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Baseline,VPB,5,0.16485421359539032,0.0780799617881284,0.30932554602622986,0.30932554602622986,0.16789589822292328,66.93548387096774,33.064516129032256,0.038312973810008276,0.05304273984464689,52.66903914590747,0.8167730031986906,0.3203338161110878,0.10642828047275543,0.16485421359539032,0.1324172466993332,100.0,0.0,0.31506361374083686,0.10819929838180542,0.16787266731262207,0.11196732521057129,89.51612903225806,10.483870967741936,0.30806473029010434,0.11853788048028946,0.19225694239139557,0.1547485589981079,83.87096774193549,16.129032258064516,0.2964475417838377,0.1379683017730713,0.2308770716190338,0.22518295049667358,82.25806451612904,17.741935483870968,0.27679641325684157,0.11271164566278458,0.18108907341957092,0.12909649312496185,68.54838709677419,31.451612903225808,0.2666841999572866,0.19457265734672546,0.2615029215812683,0.31451356410980225,81.45161290322581,18.548387096774192,0.24005000906832077,0.20797550678253174,0.23981346189975739,0.20464330911636353,71.7741935483871,28.225806451612907,0.2146937132758253,0.22723376750946045,0.22723376750946045,0.12102487683296204,58.06451612903226,41.935483870967744,0.19463923485840068,0.2353496551513672,0.2353496551513672,0.11749626696109772,63.70967741935484,36.29032258064516,0.16026025046320522,0.3111344277858734,0.3111344277858734,0.169077530503273,62.903225806451616,37.096774193548384,0.14223172208842108,0.3057161867618561,0.3057161867618561,0.07270994782447815,59.67741935483871,40.32258064516129,0.11628681662328103,0.2950011193752289,0.2950011193752289,0.0092467050999403,54.83870967741935,45.16129032258064,0.09920989853494308,0.3303513526916504,0.3303513526916504,0.14833112061023712,61.29032258064516,38.70967741935484,0.08478469653602909,0.3100850582122803,0.3100850582122803,0.12710708379745483,64.51612903225806,35.483870967741936,0.07793394136516486,0.3016371726989746,0.3016371726989746,0.16921894252300262,64.51612903225806,35.483870967741936,0.0780799617881284,0.30932554602622986,0.30932554602622986,0.16789589822292328,66.93548387096774,33.064516129032256,,,,,,,,,,,,,,,,,,
LSTM Hybrid,VCB,5,,,,,,,,0.028089027517920997,0.045911014612873266,46.84014869888476,-0.29916086361184524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,CTG,5,,,,,,,,0.029522455964533886,0.040661405938923104,47.77777777777778,0.5344032747692906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTM Hybrid,ACB,5,,,,,,,,0.026680064593370086,0.03741208678577681,42.37918215613383,-0.055571580388377964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
